N matrix d Alg throughput
16 chessboard-16 4 Rounding 0.475
16 chessboard-16 4 Circle 0.1250000000000001
16 chessboard-16 6 RRG 0.596489104425995
16 chessboard-16 6 Floor 0.6
16 chessboard-16 6 Rounding 0.59
16 chessboard-16 6 Circle 0.1249999999999999
16 chessboard-16 8 RRG 0.6523542723723039
16 chessboard-16 8 Floor 0.6824999999999999
16 chessboard-16 8 Rounding 0.695
16 chessboard-16 8 Circle 0.1250000000000001
16 chessboard-16 10 RRG 0.7101743322948006
16 chessboard-16 10 Floor 0.73
16 chessboard-16 10 Rounding 0.805
16 chessboard-16 10 Circle 0.12499999999999989
16 chessboard-16 12 RRG 0.7509357308337932
16 chessboard-16 12 Floor 0.74
16 chessboard-16 12 Rounding 0.8324999999999999
16 chessboard-16 12 Circle 0.1249999999999999
16 chessboard-16 14 RRG 0.7822754200433556
16 chessboard-16 14 Floor 0.825
16 chessboard-16 14 Rounding 0.8300000000000001
16 chessboard-16 14 Circle 0.12499999999999983
16 uniform-16 4 RRG 0.4800840176760633
16 uniform-16 4 Floor 0.4875
16 uniform-16 4 Rounding 0.47
16 uniform-16 4 Circle 0.12500000000000014
16 uniform-16 6 RRG 0.5961398854960684
16 uniform-16 6 Floor 0.6
16 uniform-16 6 Rounding 0.5475000000000001
16 uniform-16 6 Circle 0.12500000000000028
16 uniform-16 8 RRG 0.6752570075417546
16 uniform-16 8 Floor 0.6724999999999999
16 uniform-16 8 Rounding 0.6074999999999999
16 uniform-16 8 Circle 0.12500000000000014
16 uniform-16 10 RRG 0.75
16 uniform-16 10 Floor 0.745
16 uniform-16 10 Rounding 0.6875
16 uniform-16 10 Circle 0.12499999999999997
16 uniform-16 12 RRG 0.8308823529411763
16 uniform-16 12 Floor 0.8275
16 uniform-16 12 Rounding 0.7525
16 uniform-16 12 Circle 0.12500000000000028
16 uniform-16 14 RRG 0.9374999999999998
16 uniform-16 14 Floor 0.9299999999999999
16 uniform-16 14 Rounding 0.81
16 uniform-16 14 Circle 0.1249999999999999
16 permutation-16 4 RRG 0.3852643429933123
16 permutation-16 4 Floor 1.0
16 permutation-16 4 Rounding 1.0
16 permutation-16 4 Circle 0.125
16 permutation-16 6 RRG 0.430107163567736
16 permutation-16 6 Floor 1.0
16 permutation-16 6 Rounding 1.0
16 permutation-16 6 Circle 0.125
16 permutation-16 8 RRG 0.45787165020574233
16 permutation-16 8 Floor 1.0
16 permutation-16 8 Rounding 1.0
16 permutation-16 8 Circle 0.125
16 permutation-16 10 RRG 0.48109375
16 permutation-16 10 Floor 1.0
16 permutation-16 10 Rounding 1.0
16 permutation-16 10 Circle 0.125
16 permutation-16 12 RRG 0.49544270833333337
16 permutation-16 12 Floor 1.0
16 permutation-16 12 Rounding 1.0
16 permutation-16 12 Circle 0.125
16 permutation-16 14 RRG 0.5162946428571429
16 permutation-16 14 Floor 1.0
16 permutation-16 14 Rounding 1.0
16 permutation-16 14 Circle 0.125
16 random-skewed-16 4 RRG 0.4411355049977373
16 random-skewed-16 4 Floor 0.5025
16 random-skewed-16 4 Rounding 0.5950000000000001
16 random-skewed-16 4 Circle 0.1327766203729376
16 random-skewed-16 6 RRG 0.5091146002337942
16 random-skewed-16 6 Floor 0.6524999999999999
16 random-skewed-16 6 Rounding 0.7024999999999999
16 random-skewed-16 6 Circle 0.13277662037293755
16 random-skewed-16 8 RRG 0.5628937975831325
