N matrix d Alg throughput
16 Sinkhorn_heatmap3 6 Optimal 0.9778532557059352
16 Sinkhorn_heatmap3 8 Optimal 0.9778532486037773
16 Sinkhorn_heatmap3 10 Optimal 0.9778532553358381
16 Sinkhorn_heatmap3 12 Optimal 0.9778532486037772
16 Sinkhorn_heatmap3 14 Optimal 0.9778532557059352
16 Sinkhorn_topoopt 4 Optimal 0.8136787057931366
16 Sinkhorn_topoopt 6 Optimal 0.9181687835831428
16 Sinkhorn_topoopt 8 Optimal 0.9071352033805337
16 Sinkhorn_topoopt 10 Optimal 0.9401475870305601
16 Sinkhorn_topoopt 12 Optimal 0.9440799772569978
16 Sinkhorn_topoopt 14 Optimal 0.9483526343127848
16 chessboard-16 4 Optimal 0.5585947627689916
16 chessboard-16 6 Optimal 0.656779661016949
16 chessboard-16 8 Optimal 0.8157894736842108
16 chessboard-16 10 Optimal 0.8611111111111112
16 chessboard-16 12 Optimal 0.8789495710399665
16 chessboard-16 14 Optimal 0.8572263993316623
16 uniform-16 4 Optimal 0.5510496183206106
16 uniform-16 6 Optimal 0.6250004323880403
16 uniform-16 8 Optimal 0.6818181818181815
16 uniform-16 10 Optimal 0.7500000248966746
16 uniform-16 12 Optimal 0.8333333333333334
16 uniform-16 14 Optimal 0.9374273691293574
16 permutation-16 4 Optimal 1.0
16 permutation-16 6 Optimal 1.0
16 permutation-16 8 Optimal 1.0
16 permutation-16 10 Optimal 1.0
16 permutation-16 12 Optimal 1.0
16 permutation-16 14 Optimal 1.0
16 random-skewed-16 4 Optimal 0.7908315826954098
16 random-skewed-16 6 Optimal 0.8689763297405706
16 random-skewed-16 8 Optimal 0.8940797745375751
16 random-skewed-16 10 Optimal 0.9151871333283063
16 random-skewed-16 12 Optimal 0.929622032127771
16 random-skewed-16 14 Optimal 0.9395342937471336
16 skew-16-0.5 4 Optimal 0.6324284408186231
16 skew-16-0.5 6 Optimal 0.700000021580991
16 skew-16-0.5 8 Optimal 0.7489946380697048
16 skew-16-0.5 10 Optimal 0.7777777787241128
16 skew-16-0.5 12 Optimal 0.8018867924528303
